,company_permalink,funding_round_type,raised_amount_usd,category_list,status,country_code,English Langauge
4892,artimi,venture,26.5,Semiconductors,operating,USA,Yes
4893,artimi,venture,31.5,Semiconductors,operating,USA,Yes
4894,artisan-mobile,venture,5.5,Analytics|Android|Apps|CRM|iOS|Marketing Automation|Mobile|Optimization|Personalization|Software,acquired,USA,Yes
4895,artisan-pharma,venture,39.0,Biotechnology,operating,USA,Yes
4896,artisan-pharma,venture,3.0,Biotechnology,operating,USA,Yes
4897,artisan-pharma,venture,22.0,Biotechnology,operating,USA,Yes
4898,artivest,venture,15.0,Finance Technology|Financial Services|FinTech,operating,USA,Yes
4899,arts-analytics,venture,0.33,Advertising|Enterprises,operating,USA,Yes
4900,artspace,venture,8.5,E-Commerce,acquired,USA,Yes
4901,artspace,venture,1.2,E-Commerce,acquired,USA,Yes
4902,artspace,venture,2.5,E-Commerce,acquired,USA,Yes
4903,artuslabs,venture,3.683956,Software,acquired,USA,Yes
4904,artuslabs,venture,2.6,Software,acquired,USA,Yes
4905,artventive-medical-group,venture,0.5,Health Care,operating,USA,Yes
4906,aruba-networks,venture,30.0,Communications Hardware|Computers|Enterprise Software|Mobility|Wireless,acquired,USA,Yes
4907,arumai-technologies,venture,5.2,Video,operating,USA,Yes
4908,arumai-technologies,venture,4.5,Video,operating,USA,Yes
4909,aruspex,venture,3.77,Career Management|Software,operating,USA,Yes
4910,arvegenix,venture,2.5,Fuels|Nutrition|Oil|Renewable Energies,operating,USA,Yes
4911,arvegenix-2,venture,2.5,Industrial|Oil|Renewable Energies,operating,USA,Yes
4912,arvinas,venture,41.0,Biotechnology,operating,USA,Yes
4913,arvinas,venture,15.0,Biotechnology,operating,USA,Yes
4914,arx,venture,0.115656,Identity|Software,operating,USA,Yes
4915,arxan-technologies,venture,13.0,Security,acquired,USA,Yes
4916,arxan-technologies,venture,4.047324,Security,acquired,USA,Yes
4917,arxan-technologies,venture,3.0,Security,acquired,USA,Yes
4918,aryaka-networks,venture,16.0,Enterprise Software|SaaS,operating,USA,Yes
4919,aryaka-networks,venture,9.1665,Enterprise Software|SaaS,operating,USA,Yes
4920,aryaka-networks,venture,14.0,Enterprise Software|SaaS,operating,USA,Yes
4921,aryaka-networks,venture,15.0,Enterprise Software|SaaS,operating,USA,Yes
4922,aryaka-networks,venture,10.0,Enterprise Software|SaaS,operating,USA,Yes
4923,aryaka-networks,venture,25.0,Enterprise Software|SaaS,operating,USA,Yes
4924,arynga,venture,0.25,Automotive,operating,USA,Yes
4925,aryx-therapeutics,venture,0.357446,Biotechnology,closed,USA,Yes
4926,aryx-therapeutics,venture,55.0,Biotechnology,closed,USA,Yes
4927,aryx-therapeutics,venture,21.6,Biotechnology,closed,USA,Yes
4928,arzeda,venture,12.0,Biotechnology,operating,USA,Yes
4929,arzoon-inc,venture,10.0,Logistics,acquired,USA,Yes
4930,as-seen-on-tv,venture,12.155,E-Commerce,closed,USA,Yes
4931,asana,venture,28.0,Collaboration|Productivity Software|Software|Task Management,operating,USA,Yes
4932,asana,venture,9.0,Collaboration|Productivity Software|Software|Task Management,operating,USA,Yes
4933,asantae,venture,0.109522,Health and Wellness,operating,USA,Yes
4934,asantae,venture,1.837253,Health and Wellness,operating,USA,Yes
4935,asc-information-technology,venture,0.2,Software,closed,USA,Yes
4936,asc-madison,venture,1.325,Health and Wellness,operating,USA,Yes
4937,ascalon-international,venture,0.8053,Biotechnology,operating,USA,Yes
4938,ascend-health,venture,20.1,Health Care|Hospitals|Medical,acquired,USA,Yes
4939,ascendant-dx,venture,2.0,Biotechnology|Diagnostics|Health Diagnostics|Medical,operating,USA,Yes
4940,ascendant-mdx,venture,13.5,Biotechnology,operating,USA,Yes
4941,ascendis-pharma,venture,60.0,Bio-Pharm|Clinical Trials|Health and Wellness|Pharmaceuticals,ipo,USA,Yes
4942,ascendis-pharma,venture,25.814905,Bio-Pharm|Clinical Trials|Health and Wellness|Pharmaceuticals,ipo,USA,Yes
4943,ascendx-spine,venture,4.8,Health Care,operating,USA,Yes
4944,ascendx-spine,venture,0.675,Health Care,operating,USA,Yes
4945,ascension-orthopedics,venture,21.0,Biotechnology|Diagnostics|Health Care,acquired,USA,Yes
4946,ascent-solar-technologies,venture,5.0,Clean Technology,ipo,USA,Yes
4947,ascent-solar-technologies,venture,5.0,Clean Technology,ipo,USA,Yes
4948,ascent-solar-technologies,venture,6.0,Clean Technology,ipo,USA,Yes
4949,ascent-solar-technologies,venture,6.0,Clean Technology,ipo,USA,Yes
4950,ascent-therapeutics,venture,18.999997,Biotechnology,operating,USA,Yes
4951,ascenta-therapeutics,venture,30.0,Biotechnology,operating,USA,Yes
4952,ascenta-therapeutics,venture,6.0,Biotechnology,operating,USA,Yes
4953,ascenta-therapeutics,venture,50.0,Biotechnology,operating,USA,Yes
4954,ascentis,venture,3.273803,Human Resources|Software,operating,USA,Yes
4955,ascentis,venture,7.0,Human Resources|Software,operating,USA,Yes
4956,ascletis,venture,20.0,Health and Wellness,operating,USA,Yes
4957,ascletis,venture,35.0,Health and Wellness,operating,USA,Yes
4958,ascletis,venture,100.0,Health and Wellness,operating,USA,Yes
4959,asempra-technologies,venture,20.0,Software,acquired,USA,Yes
4960,aseptia,venture,28.0,Manufacturing,operating,USA,Yes
4961,asetek,venture,10.86,Computers|Hardware + Software|Networking|Water,operating,USA,Yes
4962,asetek,venture,8.0,Computers|Hardware + Software|Networking|Water,operating,USA,Yes
4963,asetek,venture,16.0,Computers|Hardware + Software|Networking|Water,operating,USA,Yes
4964,asit-engineering-corporation,venture,0.525,Manufacturing,operating,USA,Yes
4965,ask-com,venture,25.0,Search|Social Media,acquired,USA,Yes
4966,ask-ziggy,venture,3.5,Android|Artificial Intelligence|iOS|Mobile|Natural Language Processing|Neuroscience|Search|Virtual Workforces|Windows Phone 7,closed,USA,Yes
4967,asl-analytical,venture,0.471431,Biotechnology,operating,USA,Yes
4968,asl-analytical,venture,0.539977,Biotechnology,operating,USA,Yes
4969,asl-analytical,venture,1.362512,Biotechnology,operating,USA,Yes
4970,asmacure-lte,venture,3.921207,Biotechnology,operating,USA,Yes
4971,asmacure-lte,venture,4.004534,Biotechnology,operating,USA,Yes
4972,asmacure-lte,venture,9.0,Biotechnology,operating,USA,Yes
4973,asmallworld,venture,5.6,Networking|Social Media,operating,USA,Yes
4974,asoka,venture,7.0,Hardware + Software,operating,USA,Yes
4975,asoyia,venture,4.0,Consumer Goods|Fitness|Specialty Foods,closed,USA,Yes
4976,aspect-software,venture,50.0,Collaboration|Contact Centers|Customer Service|Software|Unifed Communications,operating,USA,Yes
4977,aspen-aerogels,venture,21.5,Clean Technology,ipo,USA,Yes
4978,aspen-aerogels,venture,30.0,Clean Technology,ipo,USA,Yes
4979,aspen-aerogels,venture,37.0,Clean Technology,ipo,USA,Yes
4980,aspen-avionics,venture,2.132595,Public Transportation,operating,USA,Yes
4981,aspen-avionics,venture,12.8,Public Transportation,operating,USA,Yes
4982,aspiration,venture,15.5,Finance Technology|Financial Services|Investment Management|Ventures for Good,operating,USA,Yes
4983,aspire-bariatrics,venture,5.025,Biotechnology,operating,USA,Yes
4984,aspire-beverages,venture,1.7,Hospitality,operating,USA,Yes
4985,aspire-health,venture,5.500004,Health and Wellness,operating,USA,Yes
4986,aspire-health,venture,15.0,Health and Wellness,operating,USA,Yes
4987,aspyrian-therapeutics,venture,4.25,Pharmaceuticals,operating,USA,Yes
4988,aspyrian-therapeutics,venture,8.45,Pharmaceuticals,operating,USA,Yes
4989,assay-depot,venture,1.8,Biotechnology|Life Sciences|Marketplaces|Outsourcing|Pharmaceuticals,operating,USA,Yes
4990,assay-depot,venture,3.5,Biotechnology|Life Sciences|Marketplaces|Outsourcing|Pharmaceuticals,operating,USA,Yes
4991,assay-depot,venture,1.7,Biotechnology|Life Sciences|Marketplaces|Outsourcing|Pharmaceuticals,operating,USA,Yes
4992,assay-designs,venture,5.0,Pharmaceuticals,operating,USA,Yes
4993,assembly,venture,2.9,Collaboration|Crowdsourcing|Software,operating,USA,Yes
4994,asset-international,venture,20.0,News,acquired,USA,Yes
4995,assetavenue,venture,11.0,Real Estate|Real Estate Investors,operating,USA,Yes
4996,assetvue,venture,0.2,Hardware + Software|RFID,operating,USA,Yes
4997,assia,venture,20.8,Software,operating,USA,Yes
4998,assia,venture,20.0,Software,operating,USA,Yes
4999,assia,venture,10.0,Software,operating,USA,Yes
5000,assistly,venture,1.7,CRM|Customer Service|Customer Support Tools|Enterprise Software|SaaS|Tech Field Support,acquired,USA,Yes
5001,assistly,venture,4.0,CRM|Customer Service|Customer Support Tools|Enterprise Software|SaaS|Tech Field Support,acquired,USA,Yes
5002,associated-material-processing,venture,0.25,Manufacturing,operating,USA,Yes
5003,associatedcontent,venture,10.0,Curated Web,acquired,USA,Yes
5004,associatedcontent,venture,6.0,Curated Web,acquired,USA,Yes
5005,associatedcontent,venture,5.4,Curated Web,acquired,USA,Yes
5006,assuramed,venture,5.7,Health and Wellness,acquired,USA,Yes
5007,assured-information-security,venture,0.089344,Hardware + Software,operating,USA,Yes
5008,assured-information-security,venture,0.18,Hardware + Software,operating,USA,Yes
5009,assured-labor,venture,5.5,Curated Web|Employment|Marketplaces|Mobile|Recruiting,operating,USA,Yes
5010,assured-labor,venture,6.75,Curated Web|Employment|Marketplaces|Mobile|Recruiting,operating,USA,Yes
5011,assured-pharmacy,venture,0.6,Biotechnology,operating,USA,Yes
5012,assurerx-health,venture,30.0,Biotechnology,operating,USA,Yes
5013,assurerx-health,venture,1.580725,Biotechnology,operating,USA,Yes
5014,assurerx-health,venture,12.5,Biotechnology,operating,USA,Yes
5015,assurerx-health,venture,7.0,Biotechnology,operating,USA,Yes
5016,assurerx-health,venture,8.0,Biotechnology,operating,USA,Yes
5017,assurerx-health,venture,1.6,Biotechnology,operating,USA,Yes
5018,assurerx-health,venture,11.0,Biotechnology,operating,USA,Yes
5019,assurz,venture,5.0,Curated Web,operating,USA,Yes
5020,aster-data-systems,venture,5.0,Analytics|Databases,acquired,USA,Yes
5021,aster-data-systems,venture,30.0,Analytics|Databases,acquired,USA,Yes
5022,aster-data-systems,venture,17.0,Analytics|Databases,acquired,USA,Yes
5023,asteres,venture,4.0,Biotechnology,operating,USA,Yes
5024,asteres,venture,4.0,Biotechnology,operating,USA,Yes
5025,asterias-biotherapeutics,venture,4.0,Biotechnology,operating,USA,Yes
5026,asterias-biotherapeutics,venture,12.5,Biotechnology,operating,USA,Yes
5027,asthmatx,venture,50.0,Health Care,acquired,USA,Yes
5028,astro,venture,2.52355,Consumer Electronics|Home Automation|Mobile|Wireless,operating,USA,Yes
5029,astrum-software,venture,5.3,Enterprises|Enterprise Software|Software,acquired,USA,Yes
5030,astute-medical,venture,19.999999,Biotechnology|Health Care|Health Diagnostics,operating,USA,Yes
5031,astute-medical,venture,13.0,Biotechnology|Health Care|Health Diagnostics,operating,USA,Yes
5032,astute-medical,venture,40.4,Biotechnology|Health Care|Health Diagnostics,operating,USA,Yes
5033,astute-medical,venture,6.25,Biotechnology|Health Care|Health Diagnostics,operating,USA,Yes
5034,astute-medical,venture,26.5,Biotechnology|Health Care|Health Diagnostics,operating,USA,Yes
5035,astute-networks,venture,16.0,Enterprise Software,operating,USA,Yes
5036,astute-networks,venture,12.0,Enterprise Software,operating,USA,Yes
5037,astute-networks,venture,3.6,Enterprise Software,operating,USA,Yes
5038,astute-networks,venture,15.0,Enterprise Software,operating,USA,Yes
5039,asuragen,venture,49.0,Biotechnology|Health Diagnostics,operating,USA,Yes
5040,asuragen,venture,18.5,Biotechnology|Health Diagnostics,operating,USA,Yes
5041,asuragen,venture,7.5,Biotechnology|Health Diagnostics,operating,USA,Yes
5042,asuragen,venture,5.0,Biotechnology|Health Diagnostics,operating,USA,Yes
5043,asurint,venture,0.3,Security,operating,USA,Yes
5044,atairgin-technologies,venture,7.2,Health Care,closed,USA,Yes
5045,atara-biotherapeutics,venture,13.5,Biotechnology,ipo,USA,Yes
5046,atara-biotherapeutics,venture,38.5,Biotechnology,ipo,USA,Yes
5047,atari,venture,7.26,Games,operating,USA,Yes
5048,atavist,venture,2.500018,Publishing|Software,operating,USA,Yes
5049,atavist,venture,0.925002,Publishing|Software,operating,USA,Yes
5050,ataxion,venture,17.0,Biotechnology,operating,USA,Yes
5051,atempo,venture,6.2,Software,acquired,USA,Yes
5052,atempo,venture,22.0,Software,acquired,USA,Yes
5053,atempo,venture,7.66,Software,acquired,USA,Yes
5054,aternity,venture,5.0,Enterprise Software,operating,USA,Yes
5055,aternity,venture,7.5,Enterprise Software,operating,USA,Yes
5056,aternity,venture,13.0,Enterprise Software,operating,USA,Yes
5057,atesto-technologies,venture,15.0,Services|Testing|Web Tools,closed,USA,Yes
5058,atheer-labs,venture,9.058298,3D|Augmented Reality|Delivery|Hardware + Software|Health Care|Mobile|Software|Visualization,operating,USA,Yes
5059,atheer-labs,venture,1.490497,3D|Augmented Reality|Delivery|Hardware + Software|Health Care|Mobile|Software|Visualization,operating,USA,Yes
5060,athena-design-systems,venture,4.0,Software,closed,USA,Yes
5061,athena-feminine-technologies,venture,2.0,Health Care,operating,USA,Yes
5062,athena-semiconductors,venture,10.0,Semiconductors,acquired,USA,Yes
5063,athenahealth,venture,30.0,Business Services|Enterprise Software,ipo,USA,Yes
5064,athenahealth,venture,10.0,Business Services|Enterprise Software,ipo,USA,Yes
5065,athenix,venture,10.0,Biotechnology,acquired,USA,Yes
5066,athenix,venture,8.0,Biotechnology,acquired,USA,Yes
5067,athenix,venture,13.0,Biotechnology,acquired,USA,Yes
5068,athenix,venture,12.5,Biotechnology,acquired,USA,Yes
5069,atheromed,venture,2.360144,Health Care,acquired,USA,Yes
5070,atheromed,venture,7.527761,Health Care,acquired,USA,Yes
5071,atheromed,venture,4.479482,Health Care,acquired,USA,Yes
5072,atherotech-diagnostics-lab,venture,0.999131,Biotechnology,operating,USA,Yes
5073,athersys,venture,9.000002,Biotechnology,ipo,USA,Yes
5074,athletepath,venture,0.237925,Software,operating,USA,Yes
5075,athletepath,venture,0.925143,Software,operating,USA,Yes
5076,athletes-performance,venture,22.5,Fitness|Health and Wellness|Sports|Training,operating,USA,Yes
5077,athoc,venture,2.6,Email|Enterprise Software|Physical Security|Security,acquired,USA,Yes
5078,athoc,venture,5.6,Email|Enterprise Software|Physical Security|Security,acquired,USA,Yes
5079,athos,venture,12.2,Fashion|Fitness|Health and Wellness|Technology|Wearables,operating,USA,Yes
5080,athos,venture,35.0,Fashion|Fitness|Health and Wellness|Technology|Wearables,operating,USA,Yes
5081,atia-medical,venture,3.0,Health Care|Medical|Medical Devices,operating,USA,Yes
5082,atieva,venture,24.0,Automotive|Electric Vehicles|Software,operating,USA,Yes
5083,atieva,venture,7.0,Automotive|Electric Vehicles|Software,operating,USA,Yes
5084,atigeo,venture,18.4,Software,operating,USA,Yes
5085,atigeo,venture,5.387632,Software,operating,USA,Yes
5086,ativa-medical,venture,15.0,Biotechnology|Health Diagnostics,operating,USA,Yes
5087,ativa-medical,venture,3.368014,Biotechnology|Health Diagnostics,operating,USA,Yes
5088,atlanta-micro,venture,0.5,E-Commerce,operating,USA,Yes
5089,atlantis-components,venture,12.5,Software,operating,USA,Yes
5090,atlantis-computing,venture,20.0,Enterprise Software|Flash Storage|Storage|Virtualization,operating,USA,Yes
5091,atlantis-computing,venture,10.0,Enterprise Software|Flash Storage|Storage|Virtualization,operating,USA,Yes
5092,atlas-guides,venture,0.4,Finance|Financial Services|Service Providers,closed,USA,Yes
5093,atlas-spine,venture,3.5,Biotechnology,operating,USA,Yes
5094,atlatl-software,venture,10.0,Software,operating,USA,Yes
5095,atom-entertainment,venture,22.9,Games,acquired,USA,Yes
5096,atomic-dog-publishing,venture,1.0,Publishing,operating,USA,Yes
5097,atomic-moguls,venture,1.0,Games,operating,USA,Yes
5098,atomic-moguls,venture,1.05,Games,operating,USA,Yes
5099,atomshockwave-corp,venture,22.9,Games,operating,USA,Yes
5100,atossa-genetics,venture,1.0,Biotechnology,ipo,USA,Yes
5101,atossa-genetics,venture,6.6,Biotechnology,ipo,USA,Yes
5102,atreaon,venture,8.0,Biotechnology,operating,USA,Yes
5103,atreca,venture,56.0,Biotechnology,operating,USA,Yes
5104,atreca,venture,6.0,Biotechnology,operating,USA,Yes
5105,atrenta,venture,8.0,Software,acquired,USA,Yes
5106,atrenta,venture,2.852,Software,acquired,USA,Yes
5107,atrenta,venture,4.189484,Software,acquired,USA,Yes
5108,atrenta,venture,16.0,Software,acquired,USA,Yes
5109,atrenta,venture,5.3,Software,acquired,USA,Yes
5110,atrenta,venture,10.0,Software,acquired,USA,Yes
5111,atrica,venture,17.0,Web Hosting,closed,USA,Yes
5112,atrica,venture,22.2,Web Hosting,closed,USA,Yes
5113,atricure,venture,3.5,Medical Devices,ipo,USA,Yes
5114,atricure,venture,5.0,Medical Devices,ipo,USA,Yes
5115,atritech,venture,30.0,Hardware + Software,acquired,USA,Yes
5116,atritech,venture,22.0,Hardware + Software,acquired,USA,Yes
5117,atroad,venture,20.0,Internet,operating,USA,Yes
5118,atrp-solutions,venture,3.55,E-Commerce,operating,USA,Yes
5119,atrp-solutions,venture,0.736431,E-Commerce,operating,USA,Yes
5120,atrp-solutions,venture,0.725,E-Commerce,operating,USA,Yes
5121,atrua,venture,9.0,Mobile,acquired,USA,Yes
5122,atrua,venture,4.0,Mobile,acquired,USA,Yes
5123,atscale,venture,7.0,Analytics|Big Data Analytics|Startups,operating,USA,Yes
5124,attachments-me,venture,2.0,Software,acquired,USA,Yes
5125,attachstor,venture,7.5,Information Technology|Services,operating,USA,Yes
5126,attainia,venture,0.8,Software,operating,USA,Yes
5127,attendware,venture,2.0,Bridging Online and Offline|Events|Nonprofits|Software,operating,USA,Yes
5128,attendware,venture,2.6,Bridging Online and Offline|Events|Nonprofits|Software,operating,USA,Yes
5129,attendware,venture,1.0,Bridging Online and Offline|Events|Nonprofits|Software,operating,USA,Yes
5130,attenex,venture,5.0,Software,acquired,USA,Yes
5131,attensa,venture,0.475,Software,operating,USA,Yes
5132,attention-point,venture,0.025,Biotechnology,operating,USA,Yes
5133,atterocor,venture,16.0,Biotechnology,operating,USA,Yes
5134,attivio,venture,11.0,Enterprise Software,operating,USA,Yes
5135,attivio,venture,12.0,Enterprise Software,operating,USA,Yes
5136,attivio,venture,41.9,Enterprise Software,operating,USA,Yes
5137,attivio,venture,6.2,Enterprise Software,operating,USA,Yes
5138,attivo-networks,venture,8.0,Network Security,operating,USA,Yes
5139,attn-,venture,4.099999,Digital Media|News|Social Media|Video,operating,USA,Yes
5140,attributor,venture,10.0,SEO|Software,acquired,USA,Yes
5141,attributor,venture,3.2,SEO|Software,acquired,USA,Yes
5142,attributor,venture,12.0,SEO|Software,acquired,USA,Yes
5143,attributor,venture,2.0,SEO|Software,acquired,USA,Yes
5144,attune-foods,venture,5.0,Health and Wellness,operating,USA,Yes
5145,attune-rtd,venture,1.24375,Manufacturing,operating,USA,Yes
5146,attune-systems,venture,4.0,Hardware + Software,closed,USA,Yes
5147,attune-systems,venture,14.0,Hardware + Software,closed,USA,Yes
5148,attunity,venture,3.5,Software,ipo,USA,Yes
5149,atyr-pharma,venture,23.0,Biotechnology,ipo,USA,Yes
5150,atyr-pharma,venture,76.0,Biotechnology,ipo,USA,Yes
5151,atyr-pharma,venture,12.0,Biotechnology,ipo,USA,Yes
5152,atyr-pharma,venture,49.0,Biotechnology,ipo,USA,Yes
5153,atyr-pharma,venture,10.5,Biotechnology,ipo,USA,Yes
5154,aubrey,venture,3.87792,Biotechnology,operating,USA,Yes
5155,auctiondrop,venture,2.5,Curated Web,acquired,USA,Yes
5156,auctionpal,venture,2.4,E-Commerce,operating,USA,Yes
5157,auctionpay,venture,5.5,Auctions|Nonprofits,acquired,USA,Yes
5158,audax-health-solutions,venture,28.977204,Health and Wellness|Health Care|Technology,operating,USA,Yes
5159,audax-medical,venture,0.5525,Hardware + Software,operating,USA,Yes
5160,audax-medical,venture,0.135,Hardware + Software,operating,USA,Yes
5161,audentes-therapeutics,venture,65.0,Biotechnology,operating,USA,Yes
5162,audentes-therapeutics,venture,30.0,Biotechnology,operating,USA,Yes
5163,audentes-therapeutics,venture,42.5,Biotechnology,operating,USA,Yes
5164,audible-magic,venture,1.28,Software,operating,USA,Yes
5165,audience-point,venture,0.75,Analytics|Big Data|Enterprise Software|SaaS,operating,USA,Yes
5166,audience-point,venture,0.433,Analytics|Big Data|Enterprise Software|SaaS,operating,USA,Yes
5167,audience-point,venture,1.0,Analytics|Big Data|Enterprise Software|SaaS,operating,USA,Yes
5168,audiencescience,venture,9.228075,Ad Targeting|Advertising|Advertising Platforms|Databases|Digital Media|Marketplaces,operating,USA,Yes
5169,audiencescience,venture,24.0,Ad Targeting|Advertising|Advertising Platforms|Databases|Digital Media|Marketplaces,operating,USA,Yes
5170,audiencescience,venture,23.0,Ad Targeting|Advertising|Advertising Platforms|Databases|Digital Media|Marketplaces,operating,USA,Yes
5171,audiencescience,venture,0.3188,Ad Targeting|Advertising|Advertising Platforms|Databases|Digital Media|Marketplaces,operating,USA,Yes
5172,audigence,venture,9.5,Biotechnology,operating,USA,Yes
5173,audingo,venture,0.1,Software,operating,USA,Yes
5174,audioaudit,venture,15.0,Business Services,acquired,USA,Yes
5175,audioeye,venture,1.75,Software,ipo,USA,Yes
5176,audioeye,venture,2.675,Software,ipo,USA,Yes
5177,audioeye,venture,0.546,Software,ipo,USA,Yes
5178,audiolife,venture,4.0,Distribution|E-Commerce|Manufacturing|Mobile,acquired,USA,Yes
5179,audiomicro,venture,0.5,Artists Globally|Audio|Games|Music,acquired,USA,Yes
5180,audiomicro,venture,0.75,Artists Globally|Audio|Games|Music,acquired,USA,Yes
5181,audioscribe,venture,0.75,Real Time|Software|Speech Recognition,operating,USA,Yes
5182,audioscribe,venture,0.7498,Real Time|Software|Speech Recognition,operating,USA,Yes
5183,audiosocket,venture,0.65,Media|Music|Technology,operating,USA,Yes
5184,audiosocket,venture,0.75,Media|Music|Technology,operating,USA,Yes
5185,audiosocket,venture,1.5823,Media|Music|Technology,operating,USA,Yes
5186,audiotoniq,venture,1.45,Hardware + Software,operating,USA,Yes
5187,auditude,venture,4.87023,Advertising|Monetization|Video,acquired,USA,Yes
5188,auditude,venture,4.0,Advertising|Monetization|Video,acquired,USA,Yes
5189,auditude,venture,10.555921,Advertising|Monetization|Video,acquired,USA,Yes
5190,auditude,venture,11.0,Advertising|Monetization|Video,acquired,USA,Yes
5191,audtionbooth,venture,0.08,Film|Internet|Music,closed,USA,Yes
5192,augmedix,venture,16.0,Health and Wellness|Health Care|Hospitals|Medical,operating,USA,Yes
5193,augmenix,venture,1.0,Health Care,operating,USA,Yes
5194,augmenix,venture,10.8,Health Care,operating,USA,Yes
5195,augmenix,venture,6.1,Health Care,operating,USA,Yes
5196,augmentix,venture,8.59,Hardware + Software,operating,USA,Yes
5197,augur-2,venture,4.7,Bitcoin|Business Services|Internet|Market Research|Prediction Markets|Predictive Analytics,operating,USA,Yes
5198,augury-systems,venture,7.0,Big Data|Enterprise Software|Health Diagnostics|Internet of Things,operating,USA,Yes
5199,august,venture,38.0,Home Automation|Internet of Things|Security|Technology,operating,USA,Yes
5200,august,venture,8.0,Home Automation|Internet of Things|Security|Technology,operating,USA,Yes
5201,augustine-temperature-management,venture,1.35625,Biotechnology,operating,USA,Yes
5202,augustine-temperature-management,venture,0.915255,Biotechnology,operating,USA,Yes
5203,augustine-temperature-management,venture,0.03,Biotechnology,operating,USA,Yes
5204,augustine-temperature-management,venture,4.119848,Biotechnology,operating,USA,Yes
5205,aum-cardiovascular,venture,5.0,Biotechnology,operating,USA,Yes
5206,aura-biosciences,venture,3.226728,Biotechnology,operating,USA,Yes
5207,aura-biosciences,venture,4.0,Biotechnology,operating,USA,Yes
5208,aura-biosciences,venture,21.0,Biotechnology,operating,USA,Yes
5209,aura-biosciences,venture,1.4,Biotechnology,operating,USA,Yes
5210,aura-biosciences,venture,3.0,Biotechnology,operating,USA,Yes
5211,auramist,venture,2.361192,Curated Web,operating,USA,Yes
5212,auramist,venture,2.23,Curated Web,operating,USA,Yes
5213,aurasense-therapeutics,venture,13.6,Biotechnology,operating,USA,Yes
5214,aurasense-therapeutics,venture,4.5,Biotechnology,operating,USA,Yes
5215,aurasense-therapeutics,venture,14.7984,Biotechnology,operating,USA,Yes
5216,aurasense-therapeutics,venture,2.455,Biotechnology,operating,USA,Yes
5217,aurasense-therapeutics,venture,5.4,Biotechnology,operating,USA,Yes
5218,aureon-laboratories,venture,7.0,Biotechnology,closed,USA,Yes
5219,aureon-laboratories,venture,15.0,Biotechnology,closed,USA,Yes
5220,aureon-laboratories,venture,20.0,Biotechnology,closed,USA,Yes
5221,aurigo-software,venture,6.320281,Software,operating,USA,Yes
5222,auris-surgical-robotics,venture,149.549998,Biotechnology,operating,USA,Yes
5223,auris-surgical-robotics,venture,34.37739,Biotechnology,operating,USA,Yes
5224,aurora-biofuels,venture,15.0,Clean Technology,operating,USA,Yes
5225,aurora-biofuels,venture,5.0,Clean Technology,operating,USA,Yes
5226,aurora-biofuels,venture,3.718192,Clean Technology,operating,USA,Yes
5227,aurora-biofuels,venture,20.0,Clean Technology,operating,USA,Yes
5228,aurora-biofuels,venture,22.0,Clean Technology,operating,USA,Yes
5229,aurora-feint,venture,3.66,Games,closed,USA,Yes
5230,aurora-feint,venture,4.0,Games,closed,USA,Yes
5231,aurora-flight-sciences,venture,15.0,Hardware + Software,operating,USA,Yes
5232,aurora-pharmaceutical,venture,2.412,Biotechnology,operating,USA,Yes
5233,aurora-pharmaceutical,venture,5.045,Biotechnology,operating,USA,Yes
5234,aurora-spectral-technologies,venture,0.45,Biotechnology,operating,USA,Yes
5235,aurora-spectral-technologies,venture,0.6825,Biotechnology,operating,USA,Yes
5236,aurora-spine,venture,1.703749,Fitness|Healthcare Services|Medical Devices,operating,USA,Yes
5237,aurora-spine,venture,0.400445,Fitness|Healthcare Services|Medical Devices,operating,USA,Yes
5238,aurrion,venture,11.499995,Semiconductors|Technology,operating,USA,Yes
5239,aursos,venture,0.56,Biotechnology,operating,USA,Yes
5240,aushon-biosystems,venture,7.78,Biotechnology,operating,USA,Yes
5241,aushon-biosystems,venture,4.0,Biotechnology,operating,USA,Yes
5242,aushon-biosystems,venture,5.5,Biotechnology,operating,USA,Yes
5243,aushon-biosystems,venture,2.0,Biotechnology,operating,USA,Yes
5244,aushon-biosystems,venture,2.4,Biotechnology,operating,USA,Yes
5245,aushon-biosystems,venture,8.013645,Biotechnology,operating,USA,Yes
5246,auspex-pharmaceuticals,venture,25.0,Biotechnology|Health Care,acquired,USA,Yes
5247,auspex-pharmaceuticals,venture,13.825,Biotechnology|Health Care,acquired,USA,Yes
5248,auspex-pharmaceuticals,venture,12.0,Biotechnology|Health Care,acquired,USA,Yes
5249,auspex-pharmaceuticals,venture,2.992742,Biotechnology|Health Care,acquired,USA,Yes
5250,auspex-pharmaceuticals,venture,20.0,Biotechnology|Health Care,acquired,USA,Yes
5251,ausra,venture,25.5,Clean Technology|Solar,acquired,USA,Yes
5252,ausra,venture,24.5,Clean Technology|Solar,acquired,USA,Yes
5253,ausra,venture,43.3,Clean Technology|Solar,acquired,USA,Yes
5254,austin-logistics-incorporated,venture,8.0,Analytics,operating,USA,Yes
5255,austin-tetra,venture,3.5,Consulting,acquired,USA,Yes
5256,autekbio,venture,1.0,Biotechnology|Medical,operating,USA,Yes
5257,autekbio,venture,1.1,Biotechnology|Medical,operating,USA,Yes
5258,auth0,venture,9.274955,Identity|Identity Management|Online Identity|Security|Software,operating,USA,Yes
5259,authentec,venture,2.9,Information Security|Semiconductors,acquired,USA,Yes
